Date,Open,High,Low,Close,Adj Close,Volume,Day
2022-08-24,32899.01172,33095.5,32828.55859,32969.23047,32969.23047,256900000,2243
2022-08-25,33029.26953,33306.08984,32889.85156,33291.78125,33291.78125,308530000,2244
2022-08-26,33293.42969,33364.69922,32278.2207,32283.40039,32283.40039,352850000,2245
2022-08-29,32188,32325.16016,31972.78906,32098.99023,32098.99023,317820000,2246
2022-08-30,32163.83984,32205.66016,31647.2207,31790.86914,31790.86914,317150000,2247
2022-08-31,31827.15039,31966.03906,31509.58984,31510.42969,31510.42969,392780000,2248
2022-09-01,31454.58008,31677.50977,31219.75,31656.41992,31656.41992,339360000,2249
2022-09-02,31848.5,32026.90039,31182.08984,31318.43945,31318.43945,306180000,2250
2022-09-06,31343.78906,31463.89063,31048.46094,31145.30078,31145.30078,347320000,2251
2022-09-07,31145.63086,31644.33984,31095.21094,31581.2793,31581.2793,345080000,2252
2022-09-08,31481.94922,31783.36914,31321.5,31774.51953,31774.51953,344340000,2253
2022-09-09,31876.2207,32227.74023,31876.2207,32151.71094,32151.71094,310980000,2254
2022-09-12,32159.49023,32504.03906,32159.49023,32381.33984,32381.33984,339250000,2255
2022-09-13,32006.5,32006.5,31018.53906,31104.9707,31104.9707,428930000,2256
2022-09-14,31141.01953,31276.82031,30885.01953,31135.08984,31135.08984,348670000,2257
2022-09-15,31124.67969,31277.68945,30882.08008,30961.82031,30961.82031,345500000,2258
2022-09-16,30866.60938,30866.60938,30550.08008,30822.41992,30822.41992,627920000,2259
2022-09-19,30722.85938,31026.89063,30559.36914,31019.67969,31019.67969,291200000,2260
2022-09-20,30888.5293,30888.5293,30465.91016,30706.23047,30706.23047,317970000,2261
2022-09-21,30819.39063,31020.78906,30181.99023,30183.7793,30183.7793,354960000,2262
2022-09-22,30204.51953,30302.2793,29994.5293,30076.67969,30076.67969,335270000,2263
2022-09-23,29955.65039,29955.65039,29250.4707,29590.41016,29590.41016,388200000,2264
2022-09-26,29536.83984,29630.76953,29161.11914,29260.81055,29260.81055,369450000,2265
2022-09-27,29419.88086,29659.11914,28958.2207,29134.99023,29134.99023,355460000,2266
2022-09-28,29198.91992,29811.7793,29114.9707,29683.74023,29683.74023,436040000,2267
2022-09-29,29513.73047,29513.73047,28997.33984,29225.60938,29225.60938,388820000,2268
2022-09-30,29123.0293,29355.7793,28715.84961,28725.50977,28725.50977,464260000,2269
2022-10-03,28855.25,29647.78906,28855.25,29490.89063,29490.89063,397830000,2270
2022-10-04,29826.66992,30325.05078,29826.66992,30316.32031,30316.32031,375640000,2271
2022-10-05,30078.35938,30454.46094,29886.43945,30273.86914,30273.86914,290610000,2272
2022-10-06,30206.13086,30329.60938,29859.33984,29926.93945,29926.93945,306840000,2273
2022-10-07,29685.26953,29685.26953,29142.66016,29296.78906,29296.78906,367950000,2274
2022-10-10,29419.08984,29485.82031,29010.41016,29202.88086,29202.88086,315410000,2275
2022-10-11,29085.19922,29608.41992,29074.23047,29239.18945,29239.18945,352920000,2276
2022-10-12,29233.06055,29455.11914,29136.0293,29210.84961,29210.84961,304420000,2277
2022-10-13,28755.83008,30168.53906,28660.93945,30038.7207,30038.7207,470260000,2278
2022-10-14,30192.21094,30428.82031,29614.30078,29634.83008,29634.83008,379090000,2279
2022-10-17,30059.58008,30311.94922,29997.61914,30185.82031,30185.82031,369820000,2280
2022-10-18,30697.51953,30837.90039,30301.83008,30523.80078,30523.80078,387130000,2281
2022-10-19,30439.03906,30662.10938,30226.90039,30423.81055,30423.81055,314030000,2282
2022-10-20,30411.91992,30822.96094,30265.19922,30333.58984,30333.58984,333190000,2283
